,date,hour,exercise,Serie 1,Serie 2,Serie 3,Serie 4,Serie 5,Serie 6,Serie 7,Serie 8,Datetime
11,2023-12-15,9:26 p. m.,Jal,"{'weight': '2 barra', 'reps': '15'}","{'weight': '3 barra', 'reps': '10'}","{'weight': '3 barra', 'reps': '12'}","{'weight': '3 barra', 'reps': '15'}",,,,,2023-12-15
12,2023-12-15,9:42 p. m.,Curl mancuerna ,"{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '11'}","{'weight': '15 lb', 'reps': '14'}",,,,,2023-12-15
13,2023-12-15,9:55 p. m.,Curl mancuerna ,"{'weight': '20 lb', 'reps': '9'}","{'weight': '20 lb', 'reps': '9'}","{'weight': '20 lb', 'reps': '9'}","{'weight': '20 lb', 'reps': '8'}",,,,,2023-12-15
14,2023-12-18,8:09 p. m.,Sentadilla m,"{'weight': '20 lb', 'reps': '15'}","{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '11'}","{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '13'}",,,,2023-12-18
15,2023-12-18,8:29 p. m.,Press m,"{'weight': '50 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '12'}","{'weight': '50 lb', 'reps': '11'}","{'weight': '50 lb', 'reps': '17'}",,,,,2023-12-18
16,2023-12-18,8:41 p. m.,Esquitibiales,"{'weight': '3 barra', 'reps': '15'}","{'weight': '3 barra', 'reps': '13'}","{'weight': '3 barra', 'reps': '13'}","{'weight': '3 barra', 'reps': '12'}",,,,,2023-12-18
17,2023-12-18,8:54 p. m.,Peso muerto,"{'weight': '20 lb', 'reps': '17'}","{'weight': '40 lb', 'reps': '10'}","{'weight': '40 lb', 'reps': '11'}","{'weight': '40 lb', 'reps': '10'}",,,,,2023-12-18
18,2023-12-18,9:01 p. m.,Gemelos m,"{'weight': '3 barra', 'reps': '12'}","{'weight': '3 barra', 'reps': '13'}","{'weight': '3 barra', 'reps': '14'}",,,,,,2023-12-18
19,2023-12-20,6:05 p. m.,Bench press,"{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '16'}","{'weight': '30 lb', 'reps': '15'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '10'}",,2023-12-20
20,2023-12-20,6:38 p. m.,Bench press inclinado,"{'weight': '10 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '11'}",,,,,2023-12-20
21,2023-12-20,7:04 p. m.,Tricep pushdowns ,"{'weight': '3 barra', 'reps': '20'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '13'}",,,,,2023-12-20
22,2023-12-20,7:20 p. m.,Overhead dumbell extension,"{'weight': '20 lb', 'reps': '15'}","{'weight': '25 lb', 'reps': '13'}","{'weight': '25 lb', 'reps': '13'}","{'weight': '25 lb', 'reps': '11'}",,,,,2023-12-20
23,2023-12-26,7:00 p. m.,Sentadilla m,"{'weight': '20 lb', 'reps': '15'}","{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '14'}","{'weight': '30 lb', 'reps': '12'}",,,,2023-12-26
24,2023-12-26,7:25 p. m.,Press m,"{'weight': '50 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '13'}","{'weight': '50 lb', 'reps': '16'}","{'weight': '50 lb', 'reps': '14'}",,,,,2023-12-26
25,2023-12-26,7:41 p. m.,Esquitibiales,"{'weight': '7 barra', 'reps': '11'}","{'weight': '7 barra', 'reps': '15'}","{'weight': '7 barra', 'reps': '12'}",,,,,,2023-12-26
26,2023-12-26,8:13 p. m.,Peso muerto,"{'weight': '30 lb', 'reps': '15'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '16'}","{'weight': '40 lb', 'reps': '15'}",,,,,2023-12-26
27,2023-12-28,5:35 p. m.,Bench press,"{'weight': '20 lb', 'reps': '17'}","{'weight': '30 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '13'}",,,,2023-12-28
28,2023-12-28,6:08 p. m.,Bench press inclinado,"{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '11'}",,,,,2023-12-28
29,2023-12-28,6:41 p. m.,Tricep pushdowns ,"{'weight': '3 barra', 'reps': '14'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '13'}",,,,,2023-12-28
30,2023-12-28,6:41 p. m.,Overhead dumbell extension,"{'weight': '25 lb', 'reps': '14'}","{'weight': '25 lb', 'reps': '13'}","{'weight': '25 lb', 'reps': '12'}",,,,,,2023-12-28
31,2023-12-30,12:10 p. m.,Jal,"{'weight': '3 barras', 'reps': '16'}","{'weight': '4 barras', 'reps': '11'}","{'weight': '4 barras', 'reps': '14'}","{'weight': '4 barras', 'reps': '13'}",,,,,2023-12-30
32,2023-12-30,12:32 p. m.,Jal,"{'weight': '1 barra', 'reps': '14'}","{'weight': '1 barra', 'reps': '14'}","{'weight': '1 barra', 'reps': '15'}","{'weight': '1 barra', 'reps': '15'}",,,,,2023-12-30
33,2023-12-30,12:47 p. m.,Jalon pecho hor ambos,"{'weight': '2 barra', 'reps': '12'}","{'weight': '2 barra', 'reps': '15'}","{'weight': '2 barra', 'reps': '15'}",,,,,,2023-12-30
34,2023-12-30,1:21 p. m.,Jal,"{'weight': '35 lb', 'reps': '10'}","{'weight': '35 lb', 'reps': '12'}",,,,,,,2023-12-30
35,2023-12-30,1:41 p. m.,Curl mancuerna ,"{'weight': '15 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '9'}","{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '9'}",,,,,2023-12-30
36,2023-12-30,1:53 p. m.,Curl mancuerna ,"{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '9'}","{'weight': '20 lb', 'reps': '10'}",,,,,,2023-12-30
37,2024-01-05,8:48 p. m.,Jal,"{'weight': '85 lb', 'reps': '12'}","{'weight': '85 lb', 'reps': '10'}","{'weight': '85 lb', 'reps': '10'}","{'weight': '85 lb', 'reps': '11'}",,,,,2024-01-05
38,2024-01-05,9:10 p. m.,Jalon pecho hor,"{'weight': '25 lb', 'reps': '15'}","{'weight': '25 lb', 'reps': '15'}","{'weight': '25 lb', 'reps': '13'}","{'weight': '25 lb', 'reps': '13'}",,,,,2024-01-05
39,2024-01-05,9:32 p. m.,Jal,"{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '15'}","{'weight': '40 lb', 'reps': '14'}",,,,,2024-01-05
40,2024-01-05,9:48 p. m.,Jal,"{'weight': '30 lb', 'reps': '15'}","{'weight': '40 lb', 'reps': '15'}","{'weight': '50 lb', 'reps': '12'}","{'weight': '50 lb', 'reps': '11'}","{'weight': '50 lb', 'reps': '15'}",,,,2024-01-05
41,2024-01-05,10:01 p. m.,Curl mancuerna ,"{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '10'}",,,,,2024-01-05
42,2024-01-05,10:15 p. m.,Curl mancuerna ,"{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '11'}",,,,,2024-01-05
43,2024-01-08,7:19 p. m.,Sentadilla m,"{'weight': '30 lb', 'reps': '16'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '12'}",,,,2024-01-08
